wind da,wind id,wind me,solar da ,solar id,solar me
19.87719333,18.43419047,19.98234104,36.51463376,24.17849594,13.99209618
17.01170425,26.69555278,18.76160166,13.90938181,8.893047816,4.190025817
14.21460393,24.66782602,12.89333307,0.079372373,0.083549867,0.005012992
11.95093595,16.04058384,8.949182266,0,0,0
9.871917621,8.271620618,8.423101723,0,0,0
7.297080777,5.269354019,7.902834226,0,0,0
5.125737622,5.135995936,6.25192954,0,0,0
3.867384423,6.168666224,4.28421392,0,0,0
3.354468717,4.458947204,1.999687366,0,0,0
3.10484974,3.699831959,1.810763414,0,0,0
2.297862363,2.718453242,1.764259057,0,0,0
2.102954394,2.410703818,1.459074212,0,0,0
2.704775489,1.863593732,1.339906796,0,0,0
4.978701786,3.368146469,1.717754699,0,0,0
8.045937708,6.69867912,3.202987612,0,0,0
11.38330923,10.44296377,6.844860096,0,0,0
16.11239204,15.43534331,12.53873735,0,0,0
23.56334753,24.80802298,26.18485971,0,0,0
33.44552347,37.22742194,40.00246688,3.20998588,3.027011672,2.623465816
41.66927195,49.20229395,53.04112607,18.60404883,17.13273567,13.03712121
51.06588769,61.41994607,47.21645531,31.69631294,27.12028674,20.95263558
67.0141467,76.36630974,53.28527395,37.29164752,27.56978503,24.67060465
87.25038102,92.19830787,62.95818027,28.94334484,21.67367093,20.17060883
103.034507,103.1815429,76.53745262,19.76789847,13.95867624,11.13469074
117.0815585,116.0283716,71.36674938,10.74117087,7.500271537,4.399735982
135.2045801,130.2053617,93.54932784,3.803189934,2.183158018,0.975862443
149.3063426,123.9990816,125.5733909,0.017545472,0.013367979,0.002506496
153.2797296,133.1324006,133.0867511,0,0,0
141.886162,126.7072766,136.8884824,0,0,0
117.0815585,114.8794404,114.4268778,0,0,0
92.06836922,97.58392278,93.35749736,0,0,0
70.15661026,78.9787604,62.97271288,0,0,0
51.31208722,56.67718551,36.30537047,0,0,0
49.05525812,38.14725077,22.88014381,0,0,0
47.19166439,34.02682793,19.77016491,0,0,0
54.76230021,34.7072961,21.29899566,0,0,0
69.10000391,36.01694087,32.45422838,0,0,0
91.04937669,48.61757005,44.60930478,0,0,0
108.4167025,70.80630349,53.96830669,0,0,0
114.8384071,86.2142913,62.81285416,0,0,0
114.4212357,77.22458869,71.34640373,0,0,0
114.0485169,73.91457267,70.89007972,0,0,0
116.1138575,76.83819219,67.32668334,2.044465239,1.945040898,0.927403521
116.8969088,84.06004533,60.76666243,12.04204229,10.55652566,11.04027939
113.6826371,83.940365,62.44663234,24.10079456,18.36258971,34.27382633
108.8543906,87.11018406,55.04371996,37.33342245,29.02355271,50.12741355
104.9151979,84.11475634,66.93720935,45.29656025,37.53561313,49.74224866
97.58050334,73.3777209,67.91670737,46.48046186,58.85837462,41.25775969
90.39968346,69.20942593,63.24883251,35.07089206,41.68720601,32.36721837
87.35980304,77.69989058,68.81482278,14.45913994,13.34542021,9.223905288
86.47416859,79.97723631,69.22754895,0.20051968,0.208874667,0.030913451
85.84157255,79.71052015,65.43744382,0,0,0
84.19682285,78.53081402,65.60020907,0,0,0
80.61325179,68.58024933,66.13210266,0,0,0
75.69609989,69.63685568,58.237988,0,0,0
70.27629059,71.52780492,57.5084509,0,0,0
66.29948415,67.98868654,54.62808726,0,0,0
79.18392669,71.70561569,58.08684884,0,0,0
79.84729767,75.65848607,61.25786471,0,0,0
77.68279339,78.30513111,59.02565556,0,0,0
75.82603853,72.25272578,54.13688499,0,0,0
76.1201102,79.56006487,59.24945777,0,0,0
77.26904138,78.27777561,64.4841045,0,0,0
78.88301614,78.98217984,77.32512017,0,0,0
82.0528352,85.92363906,80.96408613,0,0,0
88.19756536,86.63146274,82.11506897,0,0,0
96.77351596,92.89929266,88.28270937,4.329554094,4.718896473,3.392960088
98.66104576,89.75340967,102.9403015,26.74848984,29.21070441,23.61202784
93.08052288,99.61506897,85.83541756,45.37843912,49.72553869,51.23946227
91.99314158,107.4729376,74.70343702,59.87099901,65.12628562,69.71066681
95.446774,110.4307515,92.70062331,65.23991344,66.42882805,63.65914996
98.88330923,110.653015,106.6025196,55.1094921,52.07328994,41.69723199
105.1990113,122.8398921,98.91767459,33.95048835,31.99458597,21.99533792
118.3843644,134.4488843,93.02324729,12.94270986,9.010853128,8.252220338
130.957638,130.3318809,97.99340048,0.259004587,0.220571648,0.223078144
136.3945445,130.0856813,109.904329,0,0,0
138.4530462,138.2854938,110.3054291,0,0,0
142.9325101,144.8439759,116.8887022,0,0,0
151.8127907,143.5548478,160.0912501,0,0,0
163.5448826,168.0927352,167.0727168,0,0,0
178.5835711,188.520458,176.9112949,0,0,0
182.697155,199.7430537,177.4664407,0,0,0
198.6078002,219.0560397,178.5244148,0,0,0
216.6043026,223.0841377,189.8947302,0,0,0
231.3352417,227.5738599,204.4186223,0,0,0
241.251612,245.0677049,217.4078706,0,0,0
247.6186057,254.0745047,222.6541434,0,0,0
252.9563484,262.3221892,229.0048947,0,0,0
256.6151471,265.2252921,237.1257181,0,0,0
257.0152214,266.363965,229.6763013,0,0,0
255.4969909,262.7872328,226.8860399,0.719364353,0.724377345,0.457017771
252.6588573,259.6345109,223.9620784,2.911712856,3.061267117,5.219360175
248.1110047,254.8507171,214.0944351,5.721494874,6.099140272,9.683429555
242.3697683,247.9297745,210.7548409,9.3417106,8.324908722,15.45254785
235.9343859,239.8291258,209.1446276,12.86667948,9.748598451,22.3846803
229.0476377,229.8443667,200.8523194,13.36964968,17.96489235,15.18936577
222.8618742,221.4975185,187.5375405,9.992564062,12.89508643,11.00602395
221.056411,223.7509281,183.9160137,4.409761966,5.306252037,2.943461805
222.9268436,219.6612802,171.7987221,0.160415744,0.158744747,0.084385365
226.0145961,215.0313611,188.95883,0,0,0
230.2102466,215.9033178,193.3534917,0,0,0
233.8622064,220.0169018,196.9924577,0,0,0
236.6798234,219.0389425,199.0909668,0,0,0
238.5776115,230.5282543,186.7382469,0,0,0
238.8990386,231.7011216,180.8670718,0,0,0
232.008871,230.5145766,208.3220818,0,0,0
235.4659229,235.7052835,215.3529593,0,0,0
237.4218414,246.8389738,217.989175,0,0,0
238.5331588,246.7637461,217.9019794,0,0,0
239.3196295,249.1368361,211.2256976,0,0,0
238.3314119,244.8283442,216.2743269,0,0,0
235.5240533,240.6463715,222.0873715,0,0,0
234.9256516,245.1121576,220.4364668,0,0,0
236.4643988,248.9556059,205.3428964,0,0,0
237.8766267,245.8439173,203.933233,3.441419011,2.87160892,5.727343365
238.4750283,243.4639884,213.3067676,17.53544603,12.70208624,29.98270518
238.1023096,241.5251671,207.1449402,28.28162989,30.92514767,38.23576101
235.5650866,244.5821447,215.5418832,36.09604893,39.63939878,57.57087117
233.195416,241.665364,210.2956104,43.1376317,42.49179123,57.79729131
235.4932784,237.6953965,215.0913723,41.96876906,56.0494281,50.02464721
238.7827778,241.501231,216.61439,37.04183342,41.46997636,35.05251109
241.3952284,251.0141076,217.4194967,17.01075287,14.03387112,19.34346515
243.8606432,253.0110594,214.5565722,0.552264619,0.452004779,0.252320598
245.4062292,252.1664582,223.063963,0,0,0
247.6904138,255.6679628,219.5092862,0,0,0
251.5338622,258.0205362,222.8779456,0,0,0
254.9054281,258.7693931,234.0041131,0,0,0
258.0205362,268.70628,235.4748134,0,0,0
261.976826,271.852163,233.7338065,0,0,0
266.5622924,274.1876392,237.0036441,0,0,0
269.3046817,274.7552659,235.5387569,0,0,0
270.7032319,275.0937903,229.1705665,0,0,0
271.3460862,272.2488179,220.1806929,0,0,0
271.0041424,267.4547657,231.5713539,0,0,0
268.1420728,263.8711947,225.3659287,0,0,0
259.5319278,259.9935519,213.2806089,0,0,0
248.1588769,244.5753058,191.0021152,0,0,0
241.1661261,231.5472469,179.3149889,0,0,0
237.1893196,225.5016804,185.5669184,6.126711728,6.453391707,7.894626908
235.0761069,226.3667982,188.1304711,31.07637293,31.24347267,38.12547519
